Bathing Water,Lat,Long,Water Company ,Classification
Fistral South,50.4141638052486,-5.10149764441901,South West Water Limited,Excellent
Flamborough South Landing,54.1042408129957,-0.118418582181931,Yorkshire Water Services Limited,Excellent
Fleetwood,53.9265908501585,-3.0199946507103,United Utilities Water Limited,Good
Folkestone,51.0819704735095,1.19127116521233,Southern Water Services Limited,Excellent
Formby,53.5482180476627,-3.10625887520372,United Utilities Water Limited,Excellent
Fraisthorpe,54.048555376331,-0.214023770608408,Yorkshire Water Services Limited,Good
Frensham Great Pond,51.1573227078271,-0.791833579836205,Thames Water Utilities Limited,Excellent
Frinton,51.8277889573572,1.24830941766983,Anglian Water Services Limited,Good
Godrevy Towans,50.2327443602709,-5.39202170810627,South West Water Limited,Excellent
Goodrington,50.4235551500871,-3.55949213612794,South West Water Limited,Good
Gorleston Beach,52.5697918425,1.73347417364,Anglian Water Services Limited,Excellent
Gorran Haven Little Perhaver,50.240842939759,-4.78754286817743,South West Water Limited,Good
Great Western,50.415976061967,-5.07656644368544,South West Water Limited,Excellent
Great Yarmouth North,52.6322585809523,1.74269873146586,Anglian Water Services Limited,Excellent
Great Yarmouth Pier,52.6052855908066,1.73949475736344,Anglian Water Services Limited,Excellent
Great Yarmouth South,52.5963149719545,1.73872991605364,Anglian Water Services Limited,Excellent
Gurnard,50.7607492247221,-1.32508413493592,Southern Water Services Limited,Good
Gwithian Towans,50.2279961593516,-5.39189088555596,South West Water Limited,Excellent
Gwynver,50.0893106134689,-5.68887099641775,South West Water Limited,Excellent
Gyllyngvase,50.1446385955148,-5.06736772446128,South West Water Limited,Excellent
Hampstead Heath (Ladies Pond),51.5667313295976,-0.160132015758681,Thames Water Utilities Limited,Good
Hampstead Heath (Mens Pond),51.5633496709908,-0.156661551621384,Thames Water Utilities Limited,Excellent
Hampstead Heath (Mixed Pond),51.5607128839653,-0.166289996763097,Thames Water Utilities Limited,Good
Harlyn Bay,50.5402949099934,-4.99727977974794,South West Water Limited,Excellent
