edm_name,bathing_name,edm_name
"COLWELL BAY, TOTLAND BAY",Colwell Bay,"COLWELL BAY, TOTLAND BAY"
COMBE MARTIN BEACH,Combe Martin,COMBE MARTIN BEACH
COMBE MARTIN BEACH,Combe Martin,COMBE MARTIN BEACH
COMBE MARTIN BEACH,Combe Martin,COMBE MARTIN BEACH
CORYTON COVE DAWLISH,Constantine Bay,CORYTON COVE DAWLISH
COVERACK BEACH,Coverack,COVERACK BEACH
COVERACK BEACH,Coverack,COVERACK BEACH
"COWES, GURNARD",Cowes,"COWES, GURNARD"
"COWES, GURNARD",Cowes,"COWES, GURNARD"
"COWES, GURNARD",Cowes,"COWES, GURNARD"
"COWES, GURNARD",Cowes,"COWES, GURNARD"
"COWES, GURNARD",Cowes,"COWES, GURNARD"
"COWES, GURNARD",Cowes,"COWES, GURNARD"
"COWES, GURNARD",Cowes,"COWES, GURNARD"
"COWES, GURNARD",Cowes,"COWES, GURNARD"
"COWES, GURNARD",Cowes,"COWES, GURNARD"
"COWES, GURNARD",Cowes,"COWES, GURNARD"
"COWES, GURNARD",Cowes,"COWES, GURNARD"
"COWES, GURNARD",Cowes,"COWES, GURNARD"
"COWES, GURNARD",Cowes,"COWES, GURNARD"
"COWES, GURNARD",Cowes,"COWES, GURNARD"
"COWES, GURNARD",Cowes,"COWES, GURNARD"
"COWES, RYDE, SEAGROVE",Cowes,"COWES, RYDE, SEAGROVE"
CRACKINGTON HAVEN BEACH,Crackington Haven,CRACKINGTON HAVEN BEACH
CRANTOCK BEACH,Crantock,CRANTOCK BEACH
CRANTOCK BEACH,Crantock,CRANTOCK BEACH
CRANTOCK BEACH,Crantock,CRANTOCK BEACH
Crimdon,Crimdon,
Crimdon,Crimdon,
CROOKLETS,Crooklets,
CROYDE BAY BEACH,Croyde Bay,CROYDE BAY BEACH
Cullercoats,Croyde Bay,Cullercoats
Cullercoats,Croyde Bay,Cullercoats
DARTMOUTH CASTLE AND SUGARY COVE,Dartmouth Castle and Sugary Cove,
DAWLISH (TOWN) BEACH,Dartmouth Castle and Sugary Cove,DAWLISH (TOWN) BEACH
DAWLISH (TOWN) BEACH,Dartmouth Castle and Sugary Cove,DAWLISH (TOWN) BEACH
DAWLISH (TOWN) BEACH,Dartmouth Castle and Sugary Cove,DAWLISH (TOWN) BEACH
DAWLISH (TOWN) BEACH,Dartmouth Castle and Sugary Cove,DAWLISH (TOWN) BEACH
DAWLISH (TOWN) BEACH,Dartmouth Castle and Sugary Cove,DAWLISH (TOWN) BEACH
DAWLISH (TOWN) BEACH,Dartmouth Castle and Sugary Cove,DAWLISH (TOWN) BEACH
DAWLISH (TOWN) BEACH,Dartmouth Castle and Sugary Cove,DAWLISH (TOWN) BEACH
DAWLISH (TOWN) BEACH,Dartmouth Castle and Sugary Cove,DAWLISH (TOWN) BEACH
DAWLISH (TOWN) BEACH,Dartmouth Castle and Sugary Cove,DAWLISH (TOWN) BEACH
DEAL CASTLE,Deal Castle,
DOWNDERRY BEACH,Downderry,DOWNDERRY BEACH
Druridge Bay North,Druridge Bay North,
Druridge Bay North,Druridge Bay North,
EAST LOOE BEACH,East Looe,EAST LOOE BEACH
EAST LOOE BEACH,East Looe,EAST LOOE BEACH
EAST LOOE BEACH,East Looe,EAST LOOE BEACH
EAST LOOE BEACH,East Looe,EAST LOOE BEACH
EAST LOOE BEACH,East Looe,EAST LOOE BEACH
EAST LOOE BEACH,East Looe,EAST LOOE BEACH
EAST LOOE BEACH,East Looe,EAST LOOE BEACH
EASTBOURNE,Eastbourne,
"EASTBOURNE, PEVENSEY BAY",Eastbourne,"EASTBOURNE, PEVENSEY BAY"
"EASTBOURNE, PEVENSEY BAY",Eastbourne,"EASTBOURNE, PEVENSEY BAY"
"EASTNEY, BEACHLANDS WEST",Eastney,"EASTNEY, BEACHLANDS WEST"
EXMOUTH BEACH,Exmouth,EXMOUTH BEACH
EXMOUTH BEACH,Exmouth,EXMOUTH BEACH
EXMOUTH BEACH,Exmouth,EXMOUTH BEACH
EXMOUTH BEACH,Exmouth,EXMOUTH BEACH
EXMOUTH BEACH,Exmouth,EXMOUTH BEACH
FELPHAM,Felpham,
"FELPHAM, MIDDLETON-ON-SEA",Felpham,"FELPHAM, MIDDLETON-ON-SEA"
FISTRAL NORTH & SOUTH,Fistral North,FISTRAL NORTH & SOUTH
FISTRAL NORTH & SOUTH,Fistral North,FISTRAL NORTH & SOUTH
Flamborough South Landing,Flamborough South Landing,
Fleetwood,Fleetwood,
Fleetwood,Fleetwood,
Fleetwood,Fleetwood,
Fleetwood,Fleetwood,
Fleetwood,Fleetwood,
Fleetwood,Fleetwood,
Fleetwood,Fleetwood,
Fleetwood,Fleetwood,
Fleetwood,Fleetwood,
Fleetwood,Fleetwood,
Fleetwood,Fleetwood,
Fleetwood,Fleetwood,
Fleetwood,Fleetwood,
Fleetwood and Morecambe South,Fleetwood,Fleetwood and Morecambe South
"Fleetwood; Morecambe South",Fleetwood,
FOLKESTONE,Folkestone,
FOLKESTONE,Folkestone,
"FOLKESTONE, SANDGATE",Folkestone,"FOLKESTONE, SANDGATE"
Formby,Formby,
Formby,Formby,
Formby,Formby,
Formby,Formby,
Formby,Formby,
GOODRINGTON BEACH,Goodrington,GOODRINGTON BEACH
GOODRINGTON BEACH,Goodrington,GOODRINGTON BEACH
GORRAN HAVEN (LITTLE PERHAVER) BEACH,Gorleston Beach,GORRAN HAVEN (LITTLE PERHAVER) BEACH
GWITHIAN TOWANS & GODREVY,Gwithian Towans,GWITHIAN TOWANS & GODREVY
GWITHIAN TOWANS & GODREVY,Gwithian Towans,GWITHIAN TOWANS & GODREVY
HARLYN BAY BEACH,Harlyn Bay,HARLYN BAY BEACH
"HASTINGS PELHAM BEACH, ST LEONARDS",Hastings Pelham Beach,"HASTINGS PELHAM BEACH, ST LEONARDS"
"HASTINGS PELHAM BEACH, ST LEONARDS",Hastings Pelham Beach,"HASTINGS PELHAM BEACH, ST LEONARDS"
"HASTINGS PELHAM BEACH, ST LEONARDS",Hastings Pelham Beach,"HASTINGS PELHAM BEACH, ST LEONARDS"
"HASTINGS PELHAM BEACH, ST LEONARDS",Hastings Pelham Beach,"HASTINGS PELHAM BEACH, ST LEONARDS"
"HASTINGS PELHAM BEACH, ST LEONARDS",Hastings Pelham Beach,"HASTINGS PELHAM BEACH, ST LEONARDS"
"Haverigg, Walney Biggar Bank, Walney West Shore, and Walney Sandy Gap",Haverigg,"Haverigg, Walney Biggar Bank, Walney West Shore, and Walney Sandy Gap"
"Haverigg, Walney Biggar Bank, Walney West Shore, and Walney Sandy Gap",Haverigg,"Haverigg, Walney Biggar Bank, Walney West Shore, and Walney Sandy Gap"
"Haverigg, Walney Biggar Bank, Walney West Shore, and Walney Sandy Gap",Haverigg,"Haverigg, Walney Biggar Bank, Walney West Shore, and Walney Sandy Gap"
"Haverigg, Walney Biggar Bank, Walney West Shore, and Walney Sandy Gap",Haverigg,"Haverigg, Walney Biggar Bank, Walney West Shore, and Walney Sandy Gap"
"Haverigg, Walney Biggar Bank, Walney West Shore, and Walney Sandy Gap",Haverigg,"Haverigg, Walney Biggar Bank, Walney West Shore, and Walney Sandy Gap"
"Haverigg, Walney Biggar Bank, Walney West Shore, and Walney Sandy Gap",Haverigg,"Haverigg, Walney Biggar Bank, Walney West Shore, and Walney Sandy Gap"
"Haverigg, Walney Biggar Bank, Walney West Shore, and Walney Sandy Gap",Haverigg,"Haverigg, Walney Biggar Bank, Walney West Shore, and Walney Sandy Gap"
"Haverigg, Walney Biggar Bank, Walney West Shore, and Walney Sandy Gap",Haverigg,"Haverigg, Walney Biggar Bank, Walney West Shore, and Walney Sandy Gap"
"Haverigg; Walney Biggar Bank; Walney West Shore; Walney Sandy Gap",Haverigg,
HERNE BAY,Herne Bay,
"HERNE BAY CENTRAL, TANKERTON",Herne Bay Central,"HERNE BAY CENTRAL, TANKERTON"
"HERNE BAY CENTRAL, TANKERTON",Herne Bay Central,"HERNE BAY CENTRAL, TANKERTON"
"HERNE BAY CENTRAL, TANKERTON, WEST BEACH WHITSTABLE",Herne Bay Central,"HERNE BAY CENTRAL, TANKERTON, WEST BEACH WHITSTABLE"
"HERNE BAY, HERNE BAY CENTRAL",Herne Bay Central,"HERNE BAY, HERNE BAY CENTRAL"
"HERNE BAY, HERNE BAY CENTRAL",Herne Bay Central,"HERNE BAY, HERNE BAY CENTRAL"
"HERNE BAY, HERNE BAY CENTRAL",Herne Bay Central,"HERNE BAY, HERNE BAY CENTRAL"
HILLHEAD,Hillhead,
HILLHEAD,Hillhead,
"HILLHEAD, LEE-ON-SOLENT",Hillhead,"HILLHEAD, LEE-ON-SOLENT"
"HILLHEAD, LEE-ON-SOLENT",Hillhead,"HILLHEAD, LEE-ON-SOLENT"
"HILLHEAD, LEE-ON-SOLENT, STOKES BAY",Hillhead,"HILLHEAD, LEE-ON-SOLENT, STOKES BAY"
"HILLHEAD, LEE-ON-SOLENT, STOKES BAY",Hillhead,"HILLHEAD, LEE-ON-SOLENT, STOKES BAY"
HIVE (BURTON BRADSTOCK),Hive,HIVE (BURTON BRADSTOCK)
HOPE COVE BEACH,Hope Cove,HOPE COVE BEACH
HOPE COVE BEACH,Hope Cove,HOPE COVE BEACH
HOPE COVE BEACH,Hope Cove,HOPE COVE BEACH
"HYTHE, SANDGATE",Hythe,"HYTHE, SANDGATE"
"HYTHE, SANDGATE",Hythe,"HYTHE, SANDGATE"
"HYTHE, SANDGATE",Hythe,"HYTHE, SANDGATE"
"HOVE, SHOREHAM BEACH, SOUTHWICK",Shoreham Beach,
ILFRACOMBE HELE,Ilfracombe Hele,
ILFRACOMBE WILDERSMOUTH BEACH,Ilfracombe Tunnels Beach,ILFRACOMBE WILDERSMOUTH BEACH
ILFRACOMBE WILDERSMOUTH BEACH,Ilfracombe Tunnels Beach,ILFRACOMBE WILDERSMOUTH BEACH
ILFRACOMBE WILDERSMOUTH BEACH,Ilfracombe Tunnels Beach,ILFRACOMBE WILDERSMOUTH BEACH
KINGSAND BEACH,Kingsand,KINGSAND BEACH
KINGSAND BEACH,Kingsand,KINGSAND BEACH
KINGSAND BEACH,Kingsand,KINGSAND BEACH
"LEE-ON-SOLENT, STOKES BAY",Lee-on-Solent,"LEE-ON-SOLENT, STOKES BAY"
LEPE,Lepe,
LEYSDOWN,Leysdown,
LEYSDOWN,Leysdown,
LEYSDOWN,Leysdown,
LEYSDOWN,Leysdown,
LITTLEHAMPTON,Littlehampton,
LITTLEHAMPTON,Littlehampton,
LITTLEHAMPTON,Littlehampton,
LITTLEHAMPTON,Littlehampton,
LITTLEHAMPTON,Littlehampton,
LITTLEHAMPTON,Littlehampton,
LITTLEHAMPTON,Littlehampton,
"LITTLEHAMPTON, MIDDLETON-ON-SEA",Littlehampton,"LITTLEHAMPTON, MIDDLETON-ON-SEA"
"LITTLESTONE, ST MARYS BAY (KENT)",Littlestone,"LITTLESTONE, ST MARYS BAY (KENT)"
"LITTLESTONE, ST MARYS BAY (KENT)",Littlestone,"LITTLESTONE, ST MARYS BAY (KENT)"
LONG ROCK,Long Rock,
LONG ROCK,Long Rock,
LONG ROCK,Long Rock,
LONG ROCK,Long Rock,
LONG ROCK,Long Rock,
LONG ROCK,Long Rock,
LONG ROCK,Long Rock,
LULWORTH COVE,Lulworth Cove,
LULWORTH COVE,Lulworth Cove,
